date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:15:01	98571/98571	---M--	200	added ('OK')	image/jpeg	etag:%225141a36-1810b-5508c933634c0%22	https://template.gridbootstrap.com/eventup/images/blog/4.jpg	D:/Work/ipact/template.gridbootstrap.com/eventup/images/blog/4.jpg	(from https://template.gridbootstrap.com/eventup/blog.html)
13:15:01	30153/30153	---M--	200	added ('OK')	image/jpeg	etag:%225141a13-75c9-5508cc0a16740%22	https://template.gridbootstrap.com/eventup/images/gallery/4.jpg	D:/Work/ipact/template.gridbootstrap.com/eventup/images/gallery/4.jpg	(from https://template.gridbootstrap.com/eventup/photo-gallery.html)
13:15:01	27905/27905	---M--	200	added ('OK')	image/jpeg	etag:%225141a12-6d01-5508cbe6cd400%22	https://template.gridbootstrap.com/eventup/images/gallery/5.jpg	D:/Work/ipact/template.gridbootstrap.com/eventup/images/gallery/5.jpg	(from https://template.gridbootstrap.com/eventup/photo-gallery.html)
13:15:03	36981/36981	---M--	200	added ('OK')	image/jpeg	etag:%225141a17-9075-5508cbe2fcb00%22	https://template.gridbootstrap.com/eventup/images/gallery/6.jpg	D:/Work/ipact/template.gridbootstrap.com/eventup/images/gallery/6.jpg	(from https://template.gridbootstrap.com/eventup/photo-gallery.html)
13:15:04	35880/35880	---M--	200	added ('OK')	image/jpeg	etag:%225141a11-8c28-5508cbea9dd00%22	https://template.gridbootstrap.com/eventup/images/gallery/7.jpg	D:/Work/ipact/template.gridbootstrap.com/eventup/images/gallery/7.jpg	(from https://template.gridbootstrap.com/eventup/photo-gallery.html)
13:15:04	50440/50440	---M--	200	added ('OK')	image/jpeg	etag:%225141a10-c508-5508cbf056a80%22	https://template.gridbootstrap.com/eventup/images/gallery/8.jpg	D:/Work/ipact/template.gridbootstrap.com/eventup/images/gallery/8.jpg	(from https://template.gridbootstrap.com/eventup/photo-gallery.html)
13:15:04	16261/16261	---M--	200	added ('OK')	image/jpeg	etag:%225141a15-3f85-5508cc10c3700%22	https://template.gridbootstrap.com/eventup/images/gallery/9.jpg	D:/Work/ipact/template.gridbootstrap.com/eventup/images/gallery/9.jpg	(from https://template.gridbootstrap.com/eventup/photo-gallery.html)
13:15:05	85889/85889	---M--	200	added ('OK')	image/jpeg	etag:%225141a16-14f81-5508cc045d9c0%22	https://template.gridbootstrap.com/eventup/images/gallery/10.jpg	D:/Work/ipact/template.gridbootstrap.com/eventup/images/gallery/10.jpg	(from https://template.gridbootstrap.com/eventup/photo-gallery.html)
13:15:05	47583/47583	---M--	200	added ('OK')	image/jpeg	etag:%225141a0e-b9df-5508cd7fed940%22	https://template.gridbootstrap.com/eventup/images/gallery/12.jpg	D:/Work/ipact/template.gridbootstrap.com/eventup/images/gallery/12.jpg	(from https://template.gridbootstrap.com/eventup/photo-gallery.html)
13:15:05	47521/47521	---M--	200	added ('OK')	image/jpeg	etag:%225141a14-b9a1-5508cd82ca000%22	https://template.gridbootstrap.com/eventup/images/gallery/11.jpg	D:/Work/ipact/template.gridbootstrap.com/eventup/images/gallery/11.jpg	(from https://template.gridbootstrap.com/eventup/photo-gallery.html)
13:15:05	43043/43043	---M--	200	added ('OK')	application/javascript	etag:%2251419fc-a823-54f8be050e680%22	https://template.gridbootstrap.com/eventup/js/plyr.js	D:/Work/ipact/template.gridbootstrap.com/eventup/js/plyr.js	(from https://template.gridbootstrap.com/eventup/video-gallery.html)
13:15:06	9604/9604	---M--	200	added ('OK')	image/png	etag:%225141a48-2584-54f5851399d80%22	https://template.gridbootstrap.com/eventup/images/others/author5.png	D:/Work/ipact/template.gridbootstrap.com/eventup/images/others/author5.png	(from https://template.gridbootstrap.com/eventup/blog-details.html)
